ts_code,trade_date,close,open,high,low,ret_close_1d,ret_close_3d,ret_close_5d,close_ma5_ratio,close_ma10_ratio,close_range_pos_5d,close_drawdown_10d,close_vol_5d,overnight_prev_1d,overnight_prev_3d_mean,overnight_prev_5d_mean,overnight_prev_5d_std,overnight_positive_rate_5d,name,industry,market
002841.SZ,2026-06-26,32.28,33.63,33.7,32.25,-0.042988437592647366,-0.06271777003484313,-0.0756013745704468,-0.04773142958286636,-0.05597473240919448,0.009933774834437453,-0.09147199549676333,0.016040007635399534,-0.0029647198339755043,-0.0010857914030528715,-0.0023723158907810404,0.003613311690482441,0.2,视源股份,元器件,主板
002916.SZ,2026-06-26,433.5,448.0,448.8,420.47,-0.04725274725274731,0.01760563380281699,-0.0447333627148524,-0.016444771161752136,0.011670972394334678,0.3737830319888735,-0.07671664678820922,0.04927375063691023,-0.01538461538461533,-0.005942938658143919,-0.0039343105171171676,0.013866545456642088,0.4,深南电路,元器件,主板
002920.SZ,2026-06-26,78.9,82.07,82.88,78.9,-0.03897685749086466,-0.061161351737268,-0.10085470085470083,-0.05134062763015501,-0.07902416248394994,0.0,-0.12294353045798123,0.015608374111969164,-0.0003654080389768888,-0.0009617338371408953,-0.0019102320702589104,0.0061425655463538615,0.2,德赛西威,汽车配件,主板
003816.SZ,2026-06-26,3.94,3.98,4.03,3.92,-0.005050505050505083,-0.03194103194103204,-0.03431372549019607,-0.017946161515453807,-0.04784920251329139,0.07407407407407401,-0.12638580931263854,0.008746082877331788,0.005050505050504972,2.907897644729059e-05,-0.0009605535706117774,0.0030056167076694847,0.2,中国广核,新型电力,主板
300014.SZ,2026-06-26,62.21,67.0,67.53,62.1,-0.06885196826822337,-0.07535671819262779,-0.06675667566756671,-0.06865680579675415,-0.0451266308518804,0.01318944844124694,-0.1168370244179443,0.04648559078006819,0.002843885645861466,-0.004738756630930041,-0.0055069206015210485,0.0054745655427060995,0.2,亿纬锂能,电气设备,创业板
000166.SZ,2026-06-26,4.4,4.57,4.63,4.39,-0.04347826086956508,-0.045553145336225564,-0.0022675736961450532,-0.03254177660510105,-0.03169014084507027,0.03030303030303234,-0.06779661016949146,0.03694873398403662,-0.006521739130434634,-0.0065476577209104825,-0.00524604025730444,0.002180342092080654,0.0,申万宏源,证券,主板
300015.SZ,2026-06-26,8.0,8.25,8.32,8.0,-0.033816425120772875,-0.06759906759906764,-0.03264812575574361,-0.03938520653218047,-0.04076738609112707,0.05555555555555539,-0.096045197740113,0.02696065804589141,-0.0036231884057970065,-0.005147095289750103,-0.005252265474389994,0.002216931284377367,0.0,爱尔眼科,医疗保健,创业板
300033.SZ,2026-06-26,242.0,257.0,259.47,241.26,-0.06563706563706562,-0.02967121090617486,0.12720667008244457,-0.022064171987391856,0.048458722353399875,0.5484114977307111,-0.08981495411463813,0.08726044198309872,-0.007722007722007707,-0.004160780588670458,-0.004590410877168005,0.006933314768289558,0.2,同花顺,软件服务,创业板
300122.SZ,2026-06-26,11.38,11.97,12.12,11.38,-0.05166666666666664,-0.08299758259468171,-0.06797706797706793,-0.05245628642797673,-0.06774801343491421,0.0,-0.114396887159533,0.0285602111159751,-0.0024999999999999467,-0.003622733612273351,-0.0041379115061276565,0.003807555099222091,0.0,智飞生物,生物制药,创业板
300059.SZ,2026-06-26,20.07,20.93,21.17,20.02,-0.049265750828990984,-0.03971291866028703,0.07903225806451597,-0.027898866608543904,0.019402681836651947,0.4723032069970849,-0.08272394881170009,0.07157134489738787,-0.0085267645665561,-0.005154775503024493,-0.007662373200964035,0.004708500070759861,0.0,东方财富,证券,创业板
